Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-23,254.9499969482422,259.5,251.10000610351562,258.75,8891743,0,0
2018-07-24,258.75,263.75,257.1000061035156,258.79998779296875,9906160,0,0
2018-07-25,260.0,261.70001220703125,256.1000061035156,257.8500061035156,6721386,0,0
2018-07-26,260.1000061035156,263.0,257.5,258.25,8817721,0,0
2018-07-27,259.1000061035156,269.70001220703125,258.54998779296875,268.1499938964844,15275469,0,0
2018-07-30,267.75,271.6499938964844,266.20001220703125,267.5,7801098,0,0
2018-07-31,268.95001220703125,270.45001220703125,262.20001220703125,264.1000061035156,10026055,0,0
2018-08-01,250.0,268.0,250.0,265.04998779296875,53282545,0,0
2018-08-02,263.45001220703125,266.45001220703125,258.70001220703125,260.8500061035156,17421472,0,0
2018-08-03,262.1499938964844,263.8500061035156,257.6000061035156,258.45001220703125,9041836,0,0
2018-08-06,259.95001220703125,261.79998779296875,252.5,254.0500030517578,11371744,0,0
2018-08-07,255.1999969482422,256.0,250.5500030517578,251.60000610351562,14490727,0,0
2018-08-08,253.5,258.25,251.85000610351562,255.14999389648438,16125867,0,0
2018-08-09,256.6499938964844,260.3999938964844,255.5,257.8500061035156,7777719,0,0
2018-08-10,257.25,258.6499938964844,249.5500030517578,250.10000610351562,14606037,0,0
2018-08-13,249.25,249.6999969482422,243.10000610351562,248.6999969482422,13877900,0,0
2018-08-14,248.60000610351562,249.85000610351562,247.1999969482422,248.8000030517578,9171033,0,0
2018-08-16,245.8000030517578,252.8000030517578,245.25,251.3000030517578,14148347,0,0
2018-08-17,253.6999969482422,260.1000061035156,253.0,258.25,16117660,0,0
2018-08-20,261.8500061035156,271.8500061035156,259.20001220703125,270.1000061035156,25576718,0,0
2018-08-21,271.8500061035156,274.70001220703125,266.70001220703125,268.79998779296875,19505584,0,0
2018-08-23,269.20001220703125,269.20001220703125,256.0,256.8999938964844,18667622,0,0
2018-08-24,257.0,258.6499938964844,255.0,255.5,8703468,0,0
2018-08-27,257.0,259.5,256.5,258.79998779296875,6127707,0,0
2018-08-28,261.70001220703125,263.25,259.04998779296875,260.0,8506857,0,0
2018-08-29,261.04998779296875,263.5,261.0,261.70001220703125,5117552,0,0
2018-08-30,262.29998779296875,263.0,259.0,259.3500061035156,6333570,0,0
2018-08-31,259.1000061035156,268.25,258.1000061035156,267.5,12360078,0,0
2018-09-03,271.3999938964844,273.0,265.25,266.6000061035156,14597832,0,0
2018-09-04,270.5,270.79998779296875,260.3500061035156,261.95001220703125,14775900,0,0
2018-09-05,261.0,271.0,255.39999389648438,266.5,10084307,0,0
2018-09-06,269.70001220703125,272.0,263.8500061035156,269.95001220703125,14736214,0,0
2018-09-07,269.54998779296875,279.8999938964844,269.25,277.3999938964844,26189156,0,0
2018-09-10,276.0,282.0,271.75,275.70001220703125,21322969,0,0
2018-09-11,277.25,278.8500061035156,265.70001220703125,267.29998779296875,13444031,0,0
2018-09-12,268.20001220703125,268.20001220703125,258.8500061035156,262.3999938964844,14456273,0,0
2018-09-14,265.0,269.6000061035156,263.3999938964844,266.6000061035156,10710620,0,0
2018-09-17,263.3500061035156,264.1000061035156,259.6499938964844,260.25,9461420,0,0
2018-09-18,257.75,259.79998779296875,250.60000610351562,251.5,11554420,0,0
2018-09-19,253.5500030517578,255.0,251.0,252.60000610351562,7845650,0,0
2018-09-21,255.0500030517578,257.70001220703125,228.85000610351562,250.35000610351562,18547453,0,0
2018-09-24,250.1999969482422,251.0,239.35000610351562,240.1999969482422,8889259,0,0
2018-09-25,241.0,243.5,235.4499969482422,240.8000030517578,9030367,0,0
2018-09-26,242.3000030517578,243.1999969482422,229.5500030517578,233.35000610351562,17810869,0,0
2018-09-27,234.8000030517578,236.5500030517578,223.10000610351562,225.25,17430781,0,0
2018-09-28,227.89999389648438,230.6999969482422,219.5,223.6999969482422,14196824,0,0
2018-10-01,225.0,230.4499969482422,220.0,229.35000610351562,9743094,0,0
2018-10-03,230.0,232.8000030517578,225.8000030517578,227.60000610351562,9094685,0,0
2018-10-04,224.0,230.8000030517578,221.75,223.25,13898979,0,0
2018-10-05,222.75,226.4499969482422,214.75,216.25,10471026,0,0
2018-10-08,217.8000030517578,218.5,208.10000610351562,212.35000610351562,11854170,0,0
2018-10-09,205.6999969482422,206.0,170.3000030517578,184.35000610351562,142760251,0,0
