,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,date_year,date_month_no,date_month_name,date_day,date_dow,date_dow_name
159,2021-06-15,RELIANCE,EQ,2244.9,2261.0,2274.9,2240.3,2244.0,2250.0,2021,6,June,15,1,Tuesday
160,2021-06-16,RELIANCE,EQ,2250.0,2244.9,2247.05,2205.85,2209.55,2211.6,2021,6,June,16,2,Wednesday
161,2021-06-17,RELIANCE,EQ,2211.6,2200.0,2235.0,2179.9,2214.15,2215.65,2021,6,June,17,3,Thursday
162,2021-06-18,RELIANCE,EQ,2215.65,2225.5,2235.0,2184.35,2224.15,2225.65,2021,6,June,18,4,Friday
163,2021-06-21,RELIANCE,EQ,2225.65,2203.5,2247.5,2200.15,2238.95,2237.25,2021,6,June,21,0,Monday
164,2021-06-22,RELIANCE,EQ,2237.25,2254.0,2261.0,2219.35,2225.0,2225.75,2021,6,June,22,1,Tuesday
165,2021-06-23,RELIANCE,EQ,2225.75,2250.0,2250.6,2201.7,2208.15,2205.35,2021,6,June,23,2,Wednesday
166,2021-06-24,RELIANCE,EQ,2205.35,2206.85,2214.6,2140.0,2147.8,2153.5,2021,6,June,24,3,Thursday
167,2021-06-25,RELIANCE,EQ,2153.5,2153.5,2153.5,2081.1,2104.5,2104.45,2021,6,June,25,4,Friday
168,2021-06-28,RELIANCE,EQ,2104.45,2122.0,2126.5,2081.0,2089.0,2086.0,2021,6,June,28,0,Monday
169,2021-06-29,RELIANCE,EQ,2086.0,2089.5,2109.0,2084.1,2090.0,2087.8,2021,6,June,29,1,Tuesday
170,2021-06-30,RELIANCE,EQ,2087.8,2096.25,2122.65,2091.05,2112.0,2110.65,2021,6,June,30,2,Wednesday
171,2021-07-01,RELIANCE,EQ,2110.65,2118.0,2123.15,2095.0,2101.5,2097.95,2021,7,July,1,3,Thursday
172,2021-07-02,RELIANCE,EQ,2097.95,2097.0,2132.9,2092.95,2131.55,2129.05,2021,7,July,2,4,Friday
173,2021-07-05,RELIANCE,EQ,2129.05,2136.45,2153.55,2131.5,2150.0,2150.2,2021,7,July,5,0,Monday
174,2021-07-06,RELIANCE,EQ,2150.2,2144.95,2148.9,2120.2,2127.85,2124.8,2021,7,July,6,1,Tuesday
175,2021-07-07,RELIANCE,EQ,2124.8,2127.75,2127.75,2098.0,2112.0,2110.05,2021,7,July,7,2,Wednesday
176,2021-07-08,RELIANCE,EQ,2110.05,2116.95,2116.95,2081.0,2091.0,2092.6,2021,7,July,8,3,Thursday
177,2021-07-09,RELIANCE,EQ,2092.6,2088.0,2091.7,2066.1,2071.95,2071.2,2021,7,July,9,4,Friday
178,2021-07-12,RELIANCE,EQ,2071.2,2079.75,2101.5,2074.5,2081.95,2084.1,2021,7,July,12,0,Monday
179,2021-07-13,RELIANCE,EQ,2084.1,2100.0,2103.05,2088.05,2099.0,2099.7,2021,7,July,13,1,Tuesday
180,2021-07-14,RELIANCE,EQ,2099.7,2100.35,2106.85,2081.25,2083.55,2086.0,2021,7,July,14,2,Wednesday
181,2021-07-15,RELIANCE,EQ,2086.0,2095.0,2095.0,2078.5,2080.75,2082.35,2021,7,July,15,3,Thursday
182,2021-07-16,RELIANCE,EQ,2082.35,2087.75,2114.75,2087.6,2110.0,2112.4,2021,7,July,16,4,Friday
183,2021-07-19,RELIANCE,EQ,2112.4,2100.0,2124.0,2092.25,2097.95,2098.95,2021,7,July,19,0,Monday
184,2021-07-20,RELIANCE,EQ,2098.95,2099.5,2108.0,2084.0,2089.95,2093.8,2021,7,July,20,1,Tuesday
185,2021-07-22,RELIANCE,EQ,2093.8,2119.0,2123.9,2098.15,2121.5,2120.7,2021,7,July,22,3,Thursday
186,2021-07-23,RELIANCE,EQ,2120.7,2134.45,2134.45,2102.05,2104.0,2105.7,2021,7,July,23,4,Friday
187,2021-07-26,RELIANCE,EQ,2105.7,2108.0,2121.0,2071.1,2073.9,2076.85,2021,7,July,26,0,Monday
